admissions,answerurl,belong,central,city_id,city_name,code_enroll,colleges_level,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,hightitle,inner_rate,is_recruitment,level,level_name,name,nature,nature_name,outer_rate,province_id,province_name,rank,rank_type,rate,recommend_master_level,school_id,school_type,tag_name,town_name,type,type_name,upgrading_level,view_month,view_total,view_total_number,view_week
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3201,南京市,1030700,,320102,玄武区,1,0,38000,双一流,1,2,南京农业大学,0,1,2001,普通本科,南京农业大学,36000,公办,0,32,江苏,,,0,2.5,113,6000,教育部直属,玄武区,5002,农林类,0,9270,656.9w,6568974,3843
2,https://answer.eol.cn/fillmess/index?id=641&source=zsgk_app,河南省,2,4101,郑州市,1045900,,410172,郑州高新技术产业开发区,2,0,38000,双一流,1,2,郑州大学,0,1,2001,普通本科,郑州大学,36000,公办,0,41,河南,,,0,2,62,6000,,郑州高新技术产业开发区,5000,综合类,0,14253,1818.7w,18187193,6024
2,https://answer.eol.cn/fillmess/index?id=684&source=zsgk_app,中央统战部,1,4401,广州市,1055900,,440106,天河区,2,0,38000,双一流,1,2,暨南大学,0,1,2001,普通本科,暨南大学,36000,公办,0,44,广东,,,0,0,106,6000,中央部委院,天河区,5000,综合类,0,15444,1587w,15870434,6222
2,https://answer.eol.cn/fillmess/index?id=988&source=zsgk_app,黑龙江省,2,2301,哈尔滨市,1022600,,230103,南岗区,2,0,38003,,2,2,哈尔滨医科大学,0,1,2001,普通本科,哈尔滨医科大学,36000,公办,0,23,黑龙江,,,0,0,429,6000,,南岗区,5003,医药类,0,9504,701.6w,7016086,4608
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,江苏省,2,3201,南京市,1031900,,320113,栖霞区,2,0,38000,双一流,1,2,南京师范大学,0,1,2001,普通本科,南京师范大学,36000,公办,0,32,江苏,,,0,0,115,6000,,栖霞区,5004,师范类,0,17958,992.6w,9926464,6423
2,https://answer.eol.cn/fillmess/index?id=703&source=zsgk_app,教育部,2,4201,武汉市,1049700,,420111,洪山区,1,0,38000,双一流,1,2,武汉理工大学,0,1,2001,普通本科,武汉理工大学,36000,公办,0,42,湖北,,,0,2.5,128,6000,教育部直属,洪山区,5001,理工类,0,14574,1675.2w,16752078,5739
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3203,徐州市,1029000,,320312,铜山区,1,0,38000,双一流,1,2,中国矿业大学,0,1,2001,普通本科,中国矿业大学,36000,公办,0,32,江苏,,,0,0,110,6000,教育部直属,铜山区,5000,综合类,0,9492,803.4w,8033523,4194
2,https://answer.eol.cn/fillmess/index?id=632&source=zsgk_app,教育部,2,1101,北京市,1003600,,110105,朝阳区,1,0,38000,双一流,1,2,对外经济贸易大学,0,1,2001,普通本科,对外经济贸易大学,36000,公办,0,11,北京,,,0,0,53,6000,教育部直属,朝阳区,5006,财经类,0,7254,1040.9w,10408827,3000
2,https://answer.eol.cn/fillmess/index?id=800&source=zsgk_app,辽宁省,2,2101,沈阳市,1015900,,210113,沈北新区,2,0,38003,,2,2,中国医科大学,0,1,2001,普通本科,中国医科大学,36000,公办,0,21,辽宁,,,0,2,230,6000,,沈北新区,5003,医药类,0,6492,681.9w,6818526,2646
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1005300,,110114,昌平区,1,0,38000,双一流,1,2,中国政法大学,0,1,2001,普通本科,中国政法大学,36000,公办,0,11,北京,,,0,3,569,6000,教育部直属,昌平区,5007,政法类,0,11802,804.2w,8041746,4659
2,https://answer.eol.cn/fillmess/index?id=665&source=zsgk_app,教育部,2,3202,无锡市,1029500,,320211,滨湖区,1,0,38000,双一流,1,2,江南大学,0,1,2001,普通本科,江南大学,36000,公办,0,32,江苏,,,0,0,86,6000,教育部直属,滨湖区,5000,综合类,0,15435,1579.5w,15794952,6264
2,https://answer.eol.cn/fillmess/index?id=657&source=zsgk_app,天津市,2,1201,天津市,1006200,,120101,和平区,2,0,38000,双一流,1,2,天津医科大学,0,1,2001,普通本科,天津医科大学,36000,公办,0,12,天津,,,0,3.5,78,6000,,和平区,5003,医药类,0,6093,807.5w,8075173,2430
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,上海市,2,3101,上海市,1028000,,310113,宝山区,2,0,38000,双一流,1,2,上海大学,0,1,2001,普通本科,上海大学,36000,公办,0,31,上海,,,0,2,76,6000,,宝山区,5000,综合类,0,14202,1279.6w,12796074,5832
1,https://answer.eol.cn/fillmess/index?id=640&source=zsgk_app,教育部,2,3702,青岛市,1042300,,370212,崂山区,1,0,38000,双一流,1,1,中国海洋大学,0,1,2001,普通本科,中国海洋大学,36000,公办,0,37,山东,,,0,0,61,6000,教育部直属,崂山区,5000,综合类,0,16230,1712.2w,17121769,6660
2,https://answer.eol.cn/fillmess/index?id=979&source=zsgk_app,教育部,2,4201,武汉市,1051100,,420111,洪山区,1,0,38000,双一流,1,2,华中师范大学,0,1,2001,普通本科,华中师范大学,36000,公办,0,42,湖北,,,0,2,420,6000,教育部直属,洪山区,5004,师范类,0,10056,1251.3w,12513225,4113
2,https://answer.eol.cn/fillmess/index?id=627&source=zsgk_app,教育部,2,5101,成都市,1061300,,510117,郫都区,1,0,38000,双一流,1,2,西南交通大学,0,1,2001,普通本科,西南交通大学,36000,公办,0,51,四川,,,0,0,51,6000,教育部直属,郫都区,5001,理工类,0,15138,1780w,17799807,6243
2,https://answer.eol.cn/fillmess/index?id=3248&source=zsgk_app,教育部,2,3702,青岛市,1042500,,370211,黄岛区,1,0,38000,双一流,1,2,中国石油大学（华东）,0,1,2001,普通本科,中国石油大学（华东）,36000,公办,0,37,山东,,,0,3,120,6000,教育部直属,黄岛区,5001,理工类,0,11832,1057.2w,10571642,4812
2,https://answer.eol.cn/fillmess/index?id=3249&source=zsgk_app,教育部,2,4201,武汉市,1049100,,420111,洪山区,1,0,38000,双一流,1,2,中国地质大学（武汉）,0,1,2001,普通本科,中国地质大学（武汉）,36000,公办,0,42,湖北,,,0,2.5,121,6000,教育部直属,洪山区,5001,理工类,0,9528,885.1w,8851351,3795
2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,6101,西安市,1071800,,610116,长安区,1,0,38000,双一流,1,2,陕西师范大学,0,1,2001,普通本科,陕西师范大学,36000,公办,0,61,陕西,,,0,0,334,6000,教育部直属,长安区,5004,师范类,0,8490,1012.1w,10120754,3564
2,,教育部,2,1101,北京市,1001300,,110108,海淀区,1,0,38000,双一流,1,2,北京邮电大学,0,1,2001,普通本科,北京邮电大学,36000,公办,0,11,北京,,,0,0,48,6000,教育部直属,海淀区,5001,理工类,0,3965,1622.3w,16222619,1681
2,,浙江省,2,3301,杭州市,1033700,,0,,2,0,38003,,2,2,浙江工业大学,0,1,2001,普通本科,浙江工业大学,36000,公办,0,33,浙江,,,0,2,242,6000,,,5001,理工类,0,4073,907.2w,9072266,1557
